state_fips,county_fips,census_year,pnsp_year,harvested_cropland_acres,group_acres,coverage,n_crop_groups,n_suppressed_crop_records,shannon_H,effective_n_crops,top1_share,top3_share,dominant_crop,stratum,high_input_acres,high_input_share,total_kg_high,insecticide_kg_high,neonic_kg_high,insecticide_kg_low,insecticide_g_per_acre_high,insecticide_g_per_acre_low,total_g_per_acre_high
12,111,2017,2018,44150.0,41789.0,0.946523,3,1,0.194613,1.214841,0.951447,1.0,Orchards (fruit & tree nuts),Specialty (veg / orchard / berry),39762.0,0.951494,1118476.8,42414.9,2300.8,34060.3,960.699887,771.467724,25333.562854
12,113,2017,2018,44934.0,46899.0,1.043731,10,0,1.303161,3.680913,0.411437,0.891085,Peanuts,Southern row crops,38543.0,0.82183,276147.1,16695.4,1048.3,12049.4,371.553835,268.157742,6145.615792
12,119,2017,2018,12419.0,11123.0,0.895644,4,4,0.225648,1.253134,0.955767,0.993527,Hay & haylage,Hay & small grains,492.0,0.044233,15045.2,259.3,22.5,132.5,20.879298,10.669136,1211.466302
12,121,2017,2018,61200.0,59134.0,0.966242,8,8,1.358566,3.890611,0.500812,0.845487,Hay & haylage,Hay & small grains,20957.0,0.354398,299885.3,17423.9,398.4,14567.6,284.704248,238.03268,4900.086601
12,131,2017,2018,14824.0,14730.0,0.993659,8,0,1.387034,4.002959,0.460421,0.893143,Hay & haylage,Hay & small grains,7170.0,0.486762,66182.1,4169.3,304.9,2922.5,281.253373,197.146519,4464.523745
12,133,2017,2018,12124.0,11561.0,0.953563,9,3,1.337111,3.808027,0.534123,0.871897,Hay & haylage,Hay & small grains,4094.0,0.354122,48193.1,3324.4,198.5,2394.5,274.199934,197.500825,3975.016496
13,1,2017,2018,73671.0,75071.0,1.019003,11,1,1.516299,4.555335,0.475337,0.820597,Cotton,Southern row crops,61392.0,0.817786,259947.7,16155.9,712.6,6465.7,219.29796,87.764521,3528.494251
13,3,2017,2018,36549.0,36888.0,1.009275,10,5,1.453746,4.279114,0.41767,0.844014,Cotton,Southern row crops,29631.0,0.803269,164296.6,8903.9,395.0,7116.2,243.61542,194.703001,4495.242004
13,5,2017,2018,33382.0,33301.0,0.997574,8,1,1.543282,4.679925,0.42218,0.747935,Cotton,Southern row crops,25326.0,0.760518,107621.3,5841.8,245.4,3182.5,174.998502,95.33581,3223.932059
13,7,2017,2018,44310.0,42400.0,0.956895,8,6,1.360811,3.899355,0.442052,0.901486,Peanuts,Southern row crops,32767.0,0.772807,264068.6,17576.6,473.1,16096.9,396.673437,363.279169,5959.571203
13,15,2017,2018,15104.0,14068.0,0.931409,8,1,0.863998,2.372629,0.748792,0.936878,Hay & haylage,Hay & small grains,1581.0,0.112383,21800.2,540.7,21.6,348.4,35.798464,23.066737,1443.339513
13,17,2017,2018,19327.0,19263.0,0.996689,8,3,1.339715,3.817956,0.458807,0.869646,Cotton,Southern row crops,16098.0,0.835695,108082.3,8003.2,358.0,5681.0,414.094272,293.941119,5592.295752
13,19,2017,2018,58754.0,58512.0,0.995881,11,2,1.490959,4.441353,0.387715,0.841708,Peanuts,Southern row crops,52114.0,0.890655,381243.6,21312.1,983.4,15501.0,362.734452,263.828846,6488.810975
13,23,2017,2018,19574.0,19443.0,0.993307,8,4,1.736843,5.679384,0.264568,0.65818,Cotton,Southern row crops,8916.0,0.458571,121311.2,7267.6,534.6,5731.0,371.288444,292.786349,6197.568203
