normalized,pnsp_compound,pur_chemname,pur_chem_code,cfr180_chemical,cfr180_section,n_sources
24DIMETHYLPHENYLFORMAMIDE,,"2,4-DIMETHYLPHENYL FORMAMIDE",6343,,,1
24DINITRO6OCTYLPHENYLCROTONATEAND26DINITRO4OCTYLPHENYLCROTONATE,,,,"2,4-Dinitro-6-octylphenyl crotonate and 2,6-dinitro-4-octylphenyl crotonate",180.341,1
24DINITROPHENOL,,"2,4-DINITROPHENOL",221,,,1
24DISOOCTYL,,"2,4-D, ISOOCTYL ESTER",809,,,1
24DISOPROPYL,,"2,4-D, ISOPROPYL ESTER",810,,,1
24DISOPROPYLAMINE,,"2,4-D, ISOPROPYLAMINE SALT",3953,,,1
24DMETHYL,,"2,4-D, METHYL ESTER",6041,,,1
24DMORPHOLINE,,"2,4-D, MORPHOLINE SALT",1032,,,1
24DNNDIMETHYLOLEYLLINOLEYLAMINE,,"2,4-D, N,N-DIMETHYL OLEYL-LINOLEYLAMINE SALT",1259,,,1
24DNOLEYL13PROPYLENEDIAMINE,,"2,4-D, N-OLEYL-1,3-PROPYLENEDIAMINE SALT",1096,,,1
24DOCTYL,,"2,4-D, OCTYL ESTER",1999,,,1
24DP2ETHYLHEXYL,,"2,4-DP, 2-ETHYLHEXYL ESTER",5061,,,1
24DPDIETHANOLAMINE,,"2,4-DP, DIETHANOLAMINE SALT",2242,,,1
24DPISOOCTYL,,"2,4-DP, ISOOCTYL ESTER",1820,,,1
24DPPDIMETHYLAMINE,,"2,4-DP-P, DIMETHYLAMINE SALT",5336,,,1
24DPPISOOCTYL,,"2,4-DP-P, ISOOCTYL ESTER",5337,,,1
24DPROPYL,,"2,4-D, PROPYL ESTER",1275,,,1
24DPROPYLENEGLYCOLBUTYLETHER,,"2,4-D, PROPYLENE GLYCOL BUTYL ETHER ESTER",812,,,1
24DPTRIETHANOLAMINE,,"2,4-DP, TRIETHANOLAMINE SALT",789,,,1
24DTETRADECYLAMINE,,"2,4-D, TETRADECYLAMINE SALT",814,,,1
24DTRIETHANOLAMINE,,"2,4-D, TRIETHANOLAMINE SALT",815,,,1
24DTRIETHYLAMINE,,"2,4-D, TRIETHYLAMINE SALT",1138,,,1
24DTRIISOPROPANOLAMINE,,"2,4-D, TRIISOPROPANOLAMINE SALT",5538,,,1
24DTRIISOPROPYLAMINE,,"2,4-D, TRIISOPROPYLAMINE SALT",816,,,1
24EPIBRASSINOLIDE,,"2,4-EPIBRASSINOLIDE",6367,,,1
24METHYL2OXAZOLINE4METHANOL,,2-(8-HEPTA DECENYL)-4-METHYL-2-OXAZOLINE-4-METHANOL,3220,,,1
24PENTANEDIONE,,"2,4-PENTANEDIONE",3540,,,1
24XYLENESULFONIC,,"2,4-XYLENE SULFONIC ACID",1091,,,1
24XYLENOL,,"2,4-XYLENOL",638,,,1
25DICHLOROANILINE,,"2,5-DICHLORO ANILINE",3136,,,1
25SULFONYL134THIADIAZOLE,,"2-(1-METHYLETHYL)-5-[(3,4,4-TRIFLUORO-3-BUTEN-1-YL)SULFONYL]-1,3,4-THIADIAZOLE",6460,,,1
268TRIMETHYL4NONANOL,,"2,6,8-TRIMETHYL-4-NONANOL",3303,,,1
26BISMETHYLCYCLOHEXANONE,,"2,6-BIS ((DIMETHYL AMINO) METHYL) CYCLOHEXANONE",1165,,,1
26BISPCRESOL,,"2,6-BIS (1-METHYL HEPTADECYL)-P-CRESOL",3069,,,1
26DICHLOROANILINE,,"2,6-DICHLORO ANILINE",3137,,,1
26DIETHYLANILINE,,"2,6-DIETHYLANILINE",5743,,,1
26DIISOPROPYLNAPHTHALENE,,"2,6-DIISOPROPYLNAPHTHALENE",6344,"2, 6-Diisopropylnaphthalene (2, 6-DIPN)",180.59,2
26DIMETHYL26OCTADIENAL,,"(E)-2,6-DIMETHYL-2,6-OCTADIENAL",3307,,,1
26DIMETHYL2OCTEN8YLNBUTYRATE,,"2,6-DIMETHYL-2-OCTEN-8-YL-N-BUTYRATE",2523,,,1
26DIMETHYL4TRIDECYLMORPHOLINE,,,,"2,6-Dimethyl-4-tridecylmorpholine",180.372,1
26DINITRO4OCTYLPHENYLCROTONATE,,"2,6-DINITRO-4-OCTYLPHENYL CROTONATE",1712,,,1
26METHYLANILINE,,"2-(1-HYDROXYETHYL)-6-METHYLANILINE
",6375,,,1
2ALKYL1BENZYL12IMIDAZOLINIUMCHLORIDE,,2-ALKYL-1-BENZYL-1-(2-HYDROXYETHYL)-2-IMIDAZOLINIUM CHLORIDE (ALKYL DERIVED FROM COCONUT FATTY ACIDS),2342,,,1
2ALKYLISOQUINOLINIUMBROMIDE,,"2-ALKYL (50%C12, 30%C14, 17%C16, 3%C18) ISOQUINOLINIUM BROMIDE",1833,,,1
2AMINO2METHYL1PROPANOL,,2-((HYDROXYMETHYL)AMINO)-2-METHYL-1-PROPANOL,1922,,,1
2AMINOETHANOL,,2-((HYDROXYMETHYL)AMINO) ETHANOL,1662,,,1
2AMINOETHANOLDODECYLBENZENESULFONATE,,2-((2-AMINO ETHYL) AMINO) ETHANOL DODECYL BENZENE SULFONATE,3034,,,1
2BENZOTHIAZOLE,,,,2-(Thiocyanomethylthio)benzothiazole,180.288,1
