compound,biota_group,use_2018_Mkg_high,use_2018_Mkg_low,n_studies,n_tests,tier,tier_generous,tier_label,cas_resolution,n_cas_matched
SODIUM CHLORATE,Earthworms & potworms,1.2417463999999998,0.7238215,1.0,2.0,0.0,2.0,No record,dtxsid+name_family(1),2
SODIUM CHLORATE,Springtails & soil mites,1.2417463999999998,0.7238215,0.0,0.0,0.0,0.0,No record,dtxsid+name_family(1),2
SODIUM CHLORATE,Mycorrhizal fungi,1.2417463999999998,0.7238215,0.0,0.0,0.0,0.0,No record,dtxsid+name_family(1),2
SODIUM CHLORATE,Soil bacteria & protozoa,1.2417463999999998,0.7238215,0.0,0.0,0.0,0.0,No record,dtxsid+name_family(1),2
DIURON,Earthworms & potworms,1.2403278,1.0118705,2.0,8.0,2.0,3.0,"Lab, in soil, acute (<=14 d)",dtxsid+name_family(8),9
DIURON,Springtails & soil mites,1.2403278,1.0118705,1.0,1.0,0.0,3.0,No record,dtxsid+name_family(8),9
DIURON,Mycorrhizal fungi,1.2403278,1.0118705,0.0,0.0,0.0,0.0,No record,dtxsid+name_family(8),9
DIURON,Soil bacteria & protozoa,1.2403278,1.0118705,0.0,0.0,0.0,0.0,No record,dtxsid+name_family(8),9
PROPANIL,Earthworms & potworms,1.2341529,1.1800549,0.0,0.0,0.0,0.0,No record,dtxsid+name_family(10),11
PROPANIL,Springtails & soil mites,1.2341529,1.1800549,0.0,0.0,0.0,0.0,No record,dtxsid+name_family(10),11
PROPANIL,Mycorrhizal fungi,1.2341529,1.1800549,0.0,0.0,0.0,0.0,No record,dtxsid+name_family(10),11
PROPANIL,Soil bacteria & protozoa,1.2341529,1.1800549,0.0,0.0,0.0,0.0,No record,dtxsid+name_family(10),11
PROPARGITE,Earthworms & potworms,1.1910077,0.7554202,0.0,0.0,0.0,0.0,No record,dtxsid,1
PROPARGITE,Springtails & soil mites,1.1910077,0.7554202,0.0,0.0,0.0,0.0,No record,dtxsid,1
PROPARGITE,Mycorrhizal fungi,1.1910077,0.7554202,0.0,0.0,0.0,0.0,No record,dtxsid,1
PROPARGITE,Soil bacteria & protozoa,1.1910077,0.7554202,0.0,0.0,0.0,0.0,No record,dtxsid,1
DECAN-1-OL,Earthworms & potworms,1.1608593,1.1305016,0.0,0.0,0.0,0.0,No record,dtxsid,1
DECAN-1-OL,Springtails & soil mites,1.1608593,1.1305016,0.0,0.0,0.0,0.0,No record,dtxsid,1
DECAN-1-OL,Mycorrhizal fungi,1.1608593,1.1305016,0.0,0.0,0.0,0.0,No record,dtxsid,1
DECAN-1-OL,Soil bacteria & protozoa,1.1608593,1.1305016,0.0,0.0,0.0,0.0,No record,dtxsid,1
AZOXYSTROBIN,Earthworms & potworms,1.156951,0.9472855,3.0,5.0,3.0,3.0,"Lab, in soil, chronic (>14 d)",dtxsid+name_family(3),4
AZOXYSTROBIN,Springtails & soil mites,1.156951,0.9472855,1.0,1.0,0.0,3.0,No record,dtxsid+name_family(3),4
AZOXYSTROBIN,Mycorrhizal fungi,1.156951,0.9472855,0.0,0.0,0.0,0.0,No record,dtxsid+name_family(3),4
AZOXYSTROBIN,Soil bacteria & protozoa,1.156951,0.9472855,0.0,0.0,0.0,0.0,No record,dtxsid+name_family(3),4
CALCIUM POLYSULFIDE,Earthworms & potworms,1.1546948000000001,1.177748,0.0,0.0,0.0,0.0,No record,dtxsid,1
CALCIUM POLYSULFIDE,Springtails & soil mites,1.1546948000000001,1.177748,0.0,0.0,0.0,0.0,No record,dtxsid,1
CALCIUM POLYSULFIDE,Mycorrhizal fungi,1.1546948000000001,1.177748,0.0,0.0,0.0,0.0,No record,dtxsid,1
CALCIUM POLYSULFIDE,Soil bacteria & protozoa,1.1546948000000001,1.177748,0.0,0.0,0.0,0.0,No record,dtxsid,1
MCPA,Earthworms & potworms,1.113908,0.9554565,1.0,1.0,0.0,2.0,No record,manual+name_family(24),25
MCPA,Springtails & soil mites,1.113908,0.9554565,1.0,3.0,0.0,4.0,No record,manual+name_family(24),25
MCPA,Mycorrhizal fungi,1.113908,0.9554565,0.0,0.0,0.0,0.0,No record,manual+name_family(24),25
MCPA,Soil bacteria & protozoa,1.113908,0.9554565,0.0,0.0,0.0,0.0,No record,manual+name_family(24),25
BENTAZONE,Earthworms & potworms,1.0981187,0.7039574000000001,0.0,0.0,0.0,0.0,No record,dtxsid+name_family(13),14
BENTAZONE,Springtails & soil mites,1.0981187,0.7039574000000001,0.0,0.0,0.0,0.0,No record,dtxsid+name_family(13),14
BENTAZONE,Mycorrhizal fungi,1.0981187,0.7039574000000001,0.0,0.0,0.0,0.0,No record,dtxsid+name_family(13),14
BENTAZONE,Soil bacteria & protozoa,1.0981187,0.7039574000000001,0.0,0.0,0.0,0.0,No record,dtxsid+name_family(13),14
CAPTAN,Earthworms & potworms,1.0771167,1.2731266,4.0,6.0,2.0,3.0,"Lab, in soil, acute (<=14 d)",dtxsid,1
CAPTAN,Springtails & soil mites,1.0771167,1.2731266,1.0,2.0,0.0,3.0,No record,dtxsid,1
CAPTAN,Mycorrhizal fungi,1.0771167,1.2731266,1.0,1.0,0.0,3.0,No record,dtxsid,1
CAPTAN,Soil bacteria & protozoa,1.0771167,1.2731266,0.0,0.0,0.0,0.0,No record,dtxsid,1
COPPER HYDROXIDE,Earthworms & potworms,1.0709991,0.9285377,0.0,0.0,0.0,0.0,No record,manual+name_family(4),5
COPPER HYDROXIDE,Springtails & soil mites,1.0709991,0.9285377,0.0,0.0,0.0,0.0,No record,manual+name_family(4),5
COPPER HYDROXIDE,Mycorrhizal fungi,1.0709991,0.9285377,0.0,0.0,0.0,0.0,No record,manual+name_family(4),5
COPPER HYDROXIDE,Soil bacteria & protozoa,1.0709991,0.9285377,0.0,0.0,0.0,0.0,No record,manual+name_family(4),5
PROPICONAZOLE,Earthworms & potworms,1.0644751000000001,0.9051481,4.0,9.0,3.0,4.0,"Lab, in soil, chronic (>14 d)",dtxsid+name_family(14),15
PROPICONAZOLE,Springtails & soil mites,1.0644751000000001,0.9051481,2.0,4.0,4.0,4.0,"Field, single season (<1 yr)",dtxsid+name_family(14),15
PROPICONAZOLE,Mycorrhizal fungi,1.0644751000000001,0.9051481,3.0,6.0,2.0,2.0,"Lab, in soil, acute (<=14 d)",dtxsid+name_family(14),15
PROPICONAZOLE,Soil bacteria & protozoa,1.0644751000000001,0.9051481,0.0,0.0,0.0,0.0,No record,dtxsid+name_family(14),15
CLETHODIM,Earthworms & potworms,1.047642,0.8904456,1.0,1.0,0.0,2.0,No record,dtxsid,1
CLETHODIM,Springtails & soil mites,1.047642,0.8904456,0.0,0.0,0.0,0.0,No record,dtxsid,1
CLETHODIM,Mycorrhizal fungi,1.047642,0.8904456,0.0,0.0,0.0,0.0,No record,dtxsid,1
CLETHODIM,Soil bacteria & protozoa,1.047642,0.8904456,0.0,0.0,0.0,0.0,No record,dtxsid,1
PYRACLOSTROBIN,Earthworms & potworms,1.0200058,0.8193237,0.0,0.0,0.0,0.0,No record,dtxsid+name_family(1),2
PYRACLOSTROBIN,Springtails & soil mites,1.0200058,0.8193237,0.0,0.0,0.0,0.0,No record,dtxsid+name_family(1),2
PYRACLOSTROBIN,Mycorrhizal fungi,1.0200058,0.8193237,0.0,0.0,0.0,0.0,No record,dtxsid+name_family(1),2
PYRACLOSTROBIN,Soil bacteria & protozoa,1.0200058,0.8193237,0.0,0.0,0.0,0.0,No record,dtxsid+name_family(1),2
EPTC,Earthworms & potworms,1.0146463000000001,0.6126668000000001,0.0,0.0,0.0,0.0,No record,dtxsid+name_family(1),2
EPTC,Springtails & soil mites,1.0146463000000001,0.6126668000000001,0.0,0.0,0.0,0.0,No record,dtxsid+name_family(1),2
EPTC,Mycorrhizal fungi,1.0146463000000001,0.6126668000000001,0.0,0.0,0.0,0.0,No record,dtxsid+name_family(1),2
EPTC,Soil bacteria & protozoa,1.0146463000000001,0.6126668000000001,0.0,0.0,0.0,0.0,No record,dtxsid+name_family(1),2
CLOPYRALID,Earthworms & potworms,0.9819526999999999,0.8728731,1.0,1.0,0.0,2.0,No record,dtxsid+name_family(17),18
CLOPYRALID,Springtails & soil mites,0.9819526999999999,0.8728731,0.0,0.0,0.0,0.0,No record,dtxsid+name_family(17),18
CLOPYRALID,Mycorrhizal fungi,0.9819526999999999,0.8728731,0.0,0.0,0.0,0.0,No record,dtxsid+name_family(17),18
CLOPYRALID,Soil bacteria & protozoa,0.9819526999999999,0.8728731,0.0,0.0,0.0,0.0,No record,dtxsid+name_family(17),18
KAOLIN CLAY,Earthworms & potworms,0.9009657,0.9672477,0.0,0.0,0.0,0.0,No record,dtxsid,1
KAOLIN CLAY,Springtails & soil mites,0.9009657,0.9672477,0.0,0.0,0.0,0.0,No record,dtxsid,1
KAOLIN CLAY,Mycorrhizal fungi,0.9009657,0.9672477,0.0,0.0,0.0,0.0,No record,dtxsid,1
KAOLIN CLAY,Soil bacteria & protozoa,0.9009657,0.9672477,0.0,0.0,0.0,0.0,No record,dtxsid,1
ETHALFLURALIN,Earthworms & potworms,0.8962164,0.5767688,0.0,0.0,0.0,0.0,No record,dtxsid,1
ETHALFLURALIN,Springtails & soil mites,0.8962164,0.5767688,0.0,0.0,0.0,0.0,No record,dtxsid,1
ETHALFLURALIN,Mycorrhizal fungi,0.8962164,0.5767688,0.0,0.0,0.0,0.0,No record,dtxsid,1
ETHALFLURALIN,Soil bacteria & protozoa,0.8962164,0.5767688,0.0,0.0,0.0,0.0,No record,dtxsid,1
TRICLOPYR,Earthworms & potworms,0.8860371,0.4931272,1.0,2.0,0.0,4.0,No record,dtxsid+name_family(2),3
TRICLOPYR,Springtails & soil mites,0.8860371,0.4931272,1.0,2.0,0.0,4.0,No record,dtxsid+name_family(2),3
TRICLOPYR,Mycorrhizal fungi,0.8860371,0.4931272,0.0,0.0,0.0,0.0,No record,dtxsid+name_family(2),3
