pnsp_compound,normalized,pur_chem_code,cfr180_section,dtxsid,matched_name,match
MESOSULFURON,MESOSULFURON,,,DTXSID8058087,Mesosulfuron,exact
MESOTRIONE,MESOTRIONE,6069,180.571,DTXSID7032424,Mesotrione,exact
METALAXYL,METALAXYL,2132,180.408,DTXSID6024175,Metalaxyl,exact
METALDEHYDE,METALDEHYDE,379,180.523,DTXSID80109343,Metaldehyde,exact
METAM,METAM,,,DTXSID5043970,Metam,exact
METAM POTASSIUM,METAMPOTASSIUM,,,DTXSID1034424,Metam potassium,exact
METCONAZOLE,METCONAZOLE,5983,180.617,DTXSID4034497,Metconazole,exact
METHAMIDOPHOS,METHAMIDOPHOS,1697,,DTXSID6024177,Methamidophos,exact
METHIDATHION,METHIDATHION,1689,,DTXSID5020819,Methidathion,exact
METHIOCARB,METHIOCARB,375,,DTXSID3032626,Methiocarb,exact
METHOMYL,METHOMYL,383,180.253,DTXSID1022267,Methomyl,exact
METHOXYFENOZIDE,METHOXYFENOZIDE,5698,180.544,DTXSID3032628,Methoxyfenozide,exact
METHYL BROMIDE,METHYLBROMIDE,385,180.124,DTXSID8020832,Methyl bromide,exact
METHYL IODIDE,METHYLIODIDE,5783,,DTXSID0024187,Methyl iodide,exact
METHYL PARATHION,METHYLPARATHION,394,,DTXSID1020855,Methyl parathion,exact
METIRAM,METIRAM,493,180.217,DTXSID9034737,Metiram,exact
METOLACHLOR,METOLACHLOR,1996,,DTXSID4022448,Metolachlor,exact
METOLACHLOR-S,METOLACHLORS,,,,,prefix_only(2)
METRAFENONE,METRAFENONE,5990,180.624,DTXSID9058020,Metrafenone,exact
METRIBUZIN,METRIBUZIN,1692,180.332,DTXSID6024204,Metribuzin,exact
METSULFURON,METSULFURON,,,DTXSID1058187,Metsulfuron,exact
MEVINPHOS,MEVINPHOS,480,,DTXSID2032683,Mevinphos,exact
MSMA,MSMA,34,,DTXSID2025686,MSMA,exact
MYCLOBUTANIL,MYCLOBUTANIL,2245,180.443,DTXSID8024315,Myclobutanil,exact
MYROTHECIUM VERRUCARIA,MYROTHECIUMVERRUCARIA,,,DTXSID001061332,Myrothecium verrucaria,exact
NALED,NALED,418,180.215,DTXSID1024209,Naled,exact
NAPHTHYLACETAMIDE,NAPHTHYLACETAMIDE,,,,,none
NAPHTHYLACETIC ACID,NAPHTHYLACETIC,,,DTXSID8020915,NAPHTHYLACETIC ACID,exact
NAPROPAMIDE,NAPROPAMIDE,1728,180.328,DTXSID5024211,Napropamide,exact
NAPTALAM,NAPTALAM,2998|437,,DTXSID6032437,Naptalam,exact
NEEM OIL,NEEMOIL,,,DTXSID70107838,Neem oil,exact
NICOSULFURON,NICOSULFURON,3829,180.454,DTXSID6034764,Nicosulfuron,exact
NORFLURAZON,NORFLURAZON,2019,180.356,DTXSID8024234,Norflurazon,exact
NOSEMA LOCUSTAE CANN,NOSEMALOCUSTAECANN,,,,,none
NOVALURON,NOVALURON,5754,180.598,DTXSID5034773,Novaluron,exact
ORTHOSULFAMURON,ORTHOSULFAMURON,5904,180.625,DTXSID4034788,Orthosulfamuron,exact
ORYZALIN,ORYZALIN,1868,180.304,DTXSID8024238,Oryzalin,exact
OXADIAZON,OXADIAZON,2017,,DTXSID3024239,Oxadiazon,exact
OXAMYL,OXAMYL,1910,180.303,DTXSID6021086,Oxamyl,exact
OXYDEMETON-METHYL,OXYDEMETONMETHYL,382,,DTXSID8025541,Oxydemeton-methyl,exact
OXYFLUORFEN,OXYFLUORFEN,1973,180.381,DTXSID7024241,Oxyfluorfen,exact
OXYTETRACYCLINE,OXYTETRACYCLINE,,180.337,DTXSID1034260,Oxytetracycline,exact
PACLOBUTRAZOL,PACLOBUTRAZOL,2259,,DTXSID2024242,Paclobutrazol,exact
PARAQUAT,PARAQUAT,,180.205,DTXSID3034799,Paraquat,exact
PARATHION,PARATHION,459,,DTXSID7021100,Parathion,exact
PELARGONIC ACID,PELARGONIC,,,DTXSID3021641,Pelargonic acid,exact
PENDIMETHALIN,PENDIMETHALIN,1929,180.361,DTXSID7024245,Pendimethalin,exact
PENOXSULAM,PENOXSULAM,5889,180.605,DTXSID0034803,Penoxsulam,exact
PENTHIOPYRAD,PENTHIOPYRAD,6020,180.658,DTXSID6058005,Penthiopyrad,exact
PERMETHRIN,PERMETHRIN,2008,180.378,DTXSID8022292,Permethrin,exact
PETROLEUM DISTILLATE,PETROLEUMDISTILLATE,,,DTXSID3028219,petroleum distillate,exact
PETROLEUM OIL,PETROLEUMOIL,,,DTXSID3028219,petroleum oil,exact
PHENMEDIPHAM,PHENMEDIPHAM,675,180.278,DTXSID1024255,Phenmedipham,exact
PHORATE,PHORATE,478,180.206,DTXSID4032459,Phorate,exact
PHOSMET,PHOSMET,335,180.261,DTXSID5024261,Phosmet,exact
PHOSPHORIC ACID,PHOSPHORIC,871,,DTXSID5024263,Phosphoric acid,exact
PICLORAM,PICLORAM,5330|593,180.292,DTXSID1021160,Picloram,exact
PINOXADEN,PINOXADEN,5984,180.611,DTXSID8034823,Pinoxaden,exact
PIPERONYL BUTOXIDE,PIPERONYLBUTOXIDE,486,180.127,DTXSID1021166,Piperonyl butoxide,exact
POLYHEDROSIS VIRUS,POLYHEDROSISVIRUS,,,,,none
POLYOXORIM,POLYOXORIM,,,DTXSID30873865,Polyoxorim,exact
POTASSIUM BICARBONATE,POTASSIUMBICARBONATE,5037,,DTXSID0021177,Potassium bicarbonate,exact
POTASSIUM OLEATE,POTASSIUMOLEATE,,,DTXSID0025949,Potassium oleate,exact
PRIMISULFURON,PRIMISULFURON,,,DTXSID40150270,Primisulfuron,exact
PRODIAMINE,PRODIAMINE,2236,,DTXSID1034210,Prodiamine,exact
PROFENOFOS,PROFENOFOS,2042,180.404,DTXSID3032464,Profenofos,exact
PROHEXADIONE,PROHEXADIONE,,,DTXSID1043966,Prohexadione,exact
PROMETRYN,PROMETRYN,502,180.222,DTXSID4024272,Prometryn,exact
PROPAMOCARB HCL,PROPAMOCARBHCL,,,DTXSID6034849,Propamocarb HCl,exact
PROPANIL,PROPANIL,503,180.274,DTXSID8022111,Propanil,exact
PROPARGITE,PROPARGITE,445,180.259,DTXSID4024276,Propargite,exact
PROPAZINE,PROPAZINE,504,180.243,DTXSID3021196,Propazine,exact
PROPICONAZOLE,PROPICONAZOLE,2276,180.434,DTXSID8024280,Propiconazole,exact
PROPOXYCARBAZONE,PROPOXYCARBAZONE,,180.6,DTXSID8037704,Propoxycarbazone,exact
PROPYZAMIDE,PROPYZAMIDE,694,180.317,DTXSID2020420,Propyzamide,exact
PROSULFURON,PROSULFURON,5115,180.481,DTXSID9034868,Prosulfuron,exact
PROTHIOCONAZOLE,PROTHIOCONAZOLE,6005,180.626,DTXSID4034869,Prothioconazole,exact
PSEUDOMONAS FLUORESCENS,PSEUDOMONASFLUORESCENS,,,DTXSID60897397,Pseudomonas fluorescens,exact
PYMETROZINE,PYMETROZINE,5232,180.556,DTXSID2032637,Pymetrozine,exact
PYRACLOSTROBIN,PYRACLOSTROBIN,5759,180.582,DTXSID7032638,Pyraclostrobin,exact
PYRAFLUFEN ETHYL,PYRAFLUFENETHYL,5865,180.585,DTXSID8034871,Pyraflufen-ethyl,exact
PYRASULFOTOLE,PYRASULFOTOLE,6211,180.631,DTXSID2044343,Pyrasulfotole,exact
PYRETHRINS,PYRETHRINS,510,180.128,DTXSID8034873,Pyrethrins,exact
PYRIDABEN,PYRIDABEN,3959,180.494,DTXSID5032573,Pyridaben,exact
PYRIMETHANIL,PYRIMETHANIL,5864,180.518,DTXSID8034877,Pyrimethanil,exact
