compound,pesticide_class,class_source
LEAD ARSENATE,UNCLASSIFIED,none
LINDANE,INSECTICIDE,nass_domaincat
LINURON,HERBICIDE,nass_domaincat
MALATHION,INSECTICIDE,nass_domaincat
MALEIC HYDRAZIDE,OTHER,manual
MANCOZEB,FUNGICIDE,nass_domaincat
MANDIPROPAMID,UNCLASSIFIED,none
MANEB,FUNGICIDE,nass_domaincat
MCPA,HERBICIDE,nass_domaincat
MCPB,HERBICIDE,manual
MECOPROP,HERBICIDE,manual
MEFENOXAM,FUNGICIDE,nass_domaincat
MEFLUIDIDE,UNCLASSIFIED,none
MEPIQUAT,OTHER,manual
MESOSULFURON,UNCLASSIFIED,none
MESOTRIONE,HERBICIDE,nass_domaincat
METALAXYL,FUNGICIDE,nass_domaincat
METALDEHYDE,OTHER,nass_domaincat
METAM,OTHER,manual
METAM POTASSIUM,OTHER,nass_domaincat
METCONAZOLE,FUNGICIDE,nass_domaincat
METHAMIDOPHOS,INSECTICIDE,nass_domaincat
METHAZOLE,HERBICIDE,nass_domaincat
METHIDATHION,INSECTICIDE,nass_domaincat
METHIOCARB,INSECTICIDE,nass_domaincat
METHOMYL,INSECTICIDE,nass_domaincat
METHOXYCHLOR,INSECTICIDE,nass_domaincat
METHOXYFENOZIDE,INSECTICIDE,nass_domaincat
METHYL BROMIDE,OTHER,nass_domaincat
METHYL IODIDE,OTHER,manual
METHYL ISOTHIOCYANATE,UNCLASSIFIED,none
METHYL PARATHION,INSECTICIDE,nass_domaincat
METIRAM,FUNGICIDE,nass_domaincat
METOLACHLOR,HERBICIDE,nass_domaincat
METOLACHLOR-S,HERBICIDE,manual
METRAFENONE,OTHER,nass_domaincat
METRIBUZIN,HERBICIDE,nass_domaincat
METSULFURON,HERBICIDE,manual
MEVINPHOS,INSECTICIDE,nass_domaincat
MOLINATE,HERBICIDE,nass_domaincat
MONOCROTOPHOS,UNCLASSIFIED,none
MSMA,HERBICIDE,nass_domaincat
MYCLOBUTANIL,FUNGICIDE,nass_domaincat
MYROTHECIUM VERRUCARIA,UNCLASSIFIED,none
NALED,INSECTICIDE,nass_domaincat
NAPHTHYLACETAMIDE,UNCLASSIFIED,none
NAPHTHYLACETIC ACID,UNCLASSIFIED,none
NAPROPAMIDE,HERBICIDE,nass_domaincat
NAPTALAM,HERBICIDE,nass_domaincat
NAPTHA,UNCLASSIFIED,none
NEEM OIL,INSECTICIDE,nass_domaincat
NICOSULFURON,HERBICIDE,nass_domaincat
NORFLURAZON,HERBICIDE,nass_domaincat
NORURON,UNCLASSIFIED,none
NOSEMA LOCUSTAE CANN,UNCLASSIFIED,none
NOVALURON,INSECTICIDE,nass_domaincat
ORTHOSULFAMURON,HERBICIDE,nass_domaincat
ORYZALIN,HERBICIDE,nass_domaincat
OXADIAZON,HERBICIDE,nass_domaincat
OXAMYL,INSECTICIDE,nass_domaincat
OXATHIAPIPROLIN,FUNGICIDE,nass_domaincat
OXYDEMETON-METHYL,INSECTICIDE,nass_domaincat
OXYFLUORFEN,HERBICIDE,nass_domaincat
OXYTETRACYCLINE,FUNGICIDE,nass_domaincat
PACLOBUTRAZOL,OTHER,nass_domaincat
PAECILOMYCES LILACINUS,UNCLASSIFIED,none
PARAQUAT,HERBICIDE,nass_domaincat
PARATHION,INSECTICIDE,manual
PEBULATE,HERBICIDE,nass_domaincat
PELARGONIC ACID,OTHER,nass_domaincat
PENDIMETHALIN,HERBICIDE,nass_domaincat
PENFLUFEN,FUNGICIDE,nass_domaincat
PENOXSULAM,HERBICIDE,nass_domaincat
PENTHIOPYRAD,FUNGICIDE,nass_domaincat
PERMETHRIN,INSECTICIDE,nass_domaincat
PETROLEUM DISTILLATE,INSECTICIDE,nass_domaincat
PETROLEUM OIL,INSECTICIDE,nass_domaincat
PHENMEDIPHAM,HERBICIDE,nass_domaincat
PHORATE,INSECTICIDE,nass_domaincat
PHOSALONE,INSECTICIDE,nass_domaincat
PHOSMET,INSECTICIDE,nass_domaincat
PHOSPHAMIDON,INSECTICIDE,nass_domaincat
PHOSPHORIC ACID,OTHER,manual
PHYTOPHTHORA SPORES,UNCLASSIFIED,none
PICLORAM,HERBICIDE,manual
PICOXYSTROBIN,FUNGICIDE,nass_domaincat
PINOLENE,UNCLASSIFIED,none
PINOXADEN,HERBICIDE,nass_domaincat
PIPERONYL BUTOXIDE,INSECTICIDE,nass_domaincat
PIRIMICARB,UNCLASSIFIED,none
POLYHEDROSIS VIRUS,UNCLASSIFIED,none
POLYOXORIM,UNCLASSIFIED,none
POTASSIUM BICARBONATE,OTHER,manual
POTASSIUM CARBONATE,UNCLASSIFIED,none
POTASSIUM OLEATE,OTHER,manual
POTASSIUMSILICATE,OTHER,nass_domaincat
PRIMISULFURON,HERBICIDE,nass_domaincat
PRODIAMINE,HERBICIDE,nass_domaincat
PROFENOFOS,INSECTICIDE,nass_domaincat
PROFLURALIN,UNCLASSIFIED,none
PROHEXADIONE,UNCLASSIFIED,none
PROHYDROJASMON,OTHER,nass_domaincat
PROMETON,HERBICIDE,nass_domaincat
PROMETRYN,HERBICIDE,nass_domaincat
PROPACHLOR,HERBICIDE,nass_domaincat
PROPAMOCARB HCL,FUNGICIDE,manual
PROPANIL,HERBICIDE,nass_domaincat
PROPARGITE,INSECTICIDE,nass_domaincat
PROPAZINE,HERBICIDE,nass_domaincat
PROPICONAZOLE,FUNGICIDE,nass_domaincat
PROPOXUR,UNCLASSIFIED,none
PROPOXYCARBAZONE,UNCLASSIFIED,none
PROPYZAMIDE,HERBICIDE,manual
PROSULFURON,HERBICIDE,nass_domaincat
PROTHIOCONAZOLE,FUNGICIDE,nass_domaincat
PSEUDOMONAS FLUORESCENS,UNCLASSIFIED,none
PYDIFLUMETOFEN,FUNGICIDE,nass_domaincat
PYMETROZINE,INSECTICIDE,nass_domaincat
PYRACLOSTROBIN,FUNGICIDE,nass_domaincat
PYRAFLUFEN ETHYL,HERBICIDE,nass_domaincat
PYRASULFOTOLE,HERBICIDE,manual
PYRETHRINS,INSECTICIDE,nass_domaincat
PYRIDABEN,INSECTICIDE,nass_domaincat
PYRIDATE,HERBICIDE,nass_domaincat
