normalized,pnsp_compound,pur_chem_code,cfr180_section,dtxsid,dtxsid_match,unresolved_reason
IMAZAMETHABENZ,IMAZAMETHABENZ,2240,,,prefix_only(3),parent name matches several salts/esters/isomers - needs manual selection
IMAZAMOX,IMAZAMOX,5756|5757,,DTXSID3034664,exact,
IMAZAPIC,IMAZAPIC,5097|5911,180.49,DTXSID5034270,exact,
IMAZAPYR,IMAZAPYR,2256,180.5,DTXSID8034665,exact,
IMAZAQUIN,IMAZAQUIN,2613|3006|5109,,DTXSID3024152,exact,
IMAZETHAPYR,IMAZETHAPYR,2340|2341,180.447,DTXSID3024287,exact,
IMAZOSULFURON,IMAZOSULFURON,5987,180.651,DTXSID2057946,exact,
IMIDACLOPRID,IMIDACLOPRID,3849,180.472,DTXSID5032442,exact,
INDAZIFLAM,INDAZIFLAM,5999,180.653,DTXSID0058223,exact,
INDOXACARB,INDOXACARB,5331,180.564,DTXSID1032690,exact,
IODOSULFURON,IODOSULFURON,,,DTXSID1043968,exact,
IPCONAZOLE,IPCONAZOLE,5978,180.646,DTXSID7034674,exact,
IPRODIONE,IPRODIONE,2081,180.399,DTXSID3024154,exact,
ISOXABEN,ISOXABEN,2289,180.65,DTXSID8024159,exact,
ISOXAFLUTOLE,ISOXAFLUTOLE,6209,180.537,DTXSID5034723,exact,
KAOLINCLAY,KAOLIN CLAY,,,DTXSID6049640,exact,
KINOPRENE,KINOPRENE,1949|3936,,DTXSID3032624,exact,
KRESOXIMMETHYL,KRESOXIM-METHYL,5451,180.554,DTXSID2032558,exact,
LACTOFEN,LACTOFEN,3538,180.432,DTXSID7024160,exact,
LGLUTAMIC,L-GLUTAMIC ACID,,,DTXSID5020659,exact,
LINURON,LINURON,361,180.184,DTXSID2024163,exact,
MALATHION,MALATHION,367,180.111,DTXSID4020791,exact,
MALEICHYDRAZIDE,MALEIC HYDRAZIDE,2130|368,,DTXSID9020792,exact,
MANCOZEB,MANCOZEB,211,180.176,DTXSID0034695,exact,
MANDIPROPAMID,MANDIPROPAMID,5961,180.637,DTXSID4058075,exact,
MANEB,MANEB,369,,DTXSID9020794,exact,
MCPA,MCPA,2326|788,180.339,,prefix_only(15),parent name matches several salts/esters/isomers - needs manual selection
MCPB,MCPB,5055|641,,DTXSID4024193,exact,
MECOPROP,MECOPROP,,,,prefix_only(15),parent name matches several salts/esters/isomers - needs manual selection
MEFENOXAM,MEFENOXAM,4011,180.546,DTXSID8032671,exact,
MEPIQUAT,MEPIQUAT,,180.384,DTXSID9042122,exact,
MESOSULFURON,MESOSULFURON,,,DTXSID8058087,exact,
MESOTRIONE,MESOTRIONE,6069,180.571,DTXSID7032424,exact,
METALAXYL,METALAXYL,2132,180.408,DTXSID6024175,exact,
METALDEHYDE,METALDEHYDE,379,180.523,DTXSID80109343,exact,
METAM,METAM,,,DTXSID5043970,exact,
METAMPOTASSIUM,METAM POTASSIUM,,,DTXSID1034424,exact,
METCONAZOLE,METCONAZOLE,5983,180.617,DTXSID4034497,exact,
METHAMIDOPHOS,METHAMIDOPHOS,1697,,DTXSID6024177,exact,
METHIDATHION,METHIDATHION,1689,,DTXSID5020819,exact,
METHIOCARB,METHIOCARB,375,,DTXSID3032626,exact,
METHOMYL,METHOMYL,383,180.253,DTXSID1022267,exact,
METHOXYFENOZIDE,METHOXYFENOZIDE,5698,180.544,DTXSID3032628,exact,
METHYLBROMIDE,METHYL BROMIDE,385,180.124,DTXSID8020832,exact,
METHYLIODIDE,METHYL IODIDE,5783,,DTXSID0024187,exact,
METHYLPARATHION,METHYL PARATHION,394,,DTXSID1020855,exact,
METIRAM,METIRAM,493,180.217,DTXSID9034737,exact,
METOLACHLOR,METOLACHLOR,1996,,DTXSID4022448,exact,
METOLACHLORS,METOLACHLOR-S,,,,prefix_only(2),parent name matches several salts/esters/isomers - needs manual selection
METRAFENONE,METRAFENONE,5990,180.624,DTXSID9058020,exact,
METRIBUZIN,METRIBUZIN,1692,180.332,DTXSID6024204,exact,
METSULFURON,METSULFURON,,,DTXSID1058187,exact,
MEVINPHOS,MEVINPHOS,480,,DTXSID2032683,exact,
